深圳,腾讯科技（深圳）有限公司,本科,3-5年,南山区,15k-30k
上海,上海恺英网络科技有限公司,不限,3-5年,闵行区,18k-35k
北京,北京必示科技有限公司,本科,5-10年,海淀区,30k-60k
杭州,浙江元旨科技有限公司,不限,1-3年,滨江区,6k-8k
上海,北京快乐茄信息技术有限公司,不限,5-10年,浦东新区,45k-75k
上海,上海百龄足健康管理有限公司,不限,不限,松江区,5k-10k
北京,北京读我科技有限公司,本科,5-10年,海淀区,25k-40k
北京,北京七十二创意文化传媒有限公司,本科,1年以下,朝阳区,5k-8k
城市,公司名称,学历,任职要求,区域,金额
深圳,深圳市时代创想广告有限公司,大专,1-3年,龙华新区,15k-20k
杭州,杭州一骑轻尘信息技术有限公司,大专,3-5年,余杭区,10k-20k
深圳,腾讯科技（深圳）有限公司,不限,3-5年,南山区,10k-20k
深圳,腾讯科技（深圳）有限公司,本科,3-5年,南山区,15k-30k
广州,广州思迈特软件有限公司,大专,3-5年,天河区,12k-18k
北京,贝壳找房（北京）科技有限公司,本科,不限,海淀区,15k-25k
北京,北京健康有益科技有限公司,本科,5-10年,朝阳区,15k-25k
北京,北京深演智能科技股份有限公司,本科,3-5年,朝阳区,18k-35k
深圳,金蝶软件（中国）有限公司,本科,3-5年,南山区,13k-26k
上海,上海壹佰米网络科技有限公司,本科,1-3年,浦东新区,8k-15k
苏州,苏州阿拉贝尔智能科技有限公司,本科,3-5年,张家港市,10k-20k
北京,北京必示科技有限公司,本科,5-10年,海淀区,30k-60k
杭州,浙江元旨科技有限公司,不限,1-3年,滨江区,6k-8k
上海,北京快乐茄信息技术有限公司,不限,5-10年,浦东新区,45k-75k
上海,上海百龄足健康管理有限公司,不限,不限,松江区,5k-10k
城市,公司名称,学历,任职要求,区域,金额
深圳,深圳市时代创想广告有限公司,大专,1-3年,龙华新区,15k-20k
杭州,杭州一骑轻尘信息技术有限公司,大专,3-5年,余杭区,10k-20k
深圳,腾讯科技（深圳）有限公司,不限,3-5年,南山区,10k-20k
北京,腾讯科技（深圳）有限公司,本科,3-5年,海淀区,15k-30k
上海,上海壹佰米网络科技有限公司,本科,1-3年,浦东新区,8k-15k
北京,中信出版集团股份有限公司,本科,不限,朝阳区,10k-20k
南京,南京红苹果网络科技有限公司,本科,3-5年,建邺区,10k-18k
北京,北京多来点信息技术有限公司,本科,1-3年,西城区,10k-15k
北京,北京世相科技文化有限公司,本科,1-3年,朝阳区,10k-16k
北京,北京世相科技文化有限公司,本科,3-5年,朝阳区,10k-20k
成都,成都黑帕云信息技术有限公司,本科,3-5年,高新区,15k-30k
上海,上海欢动科技有限公司,大专,3-5年,浦东新区,12k-18k
深圳,唯觅互动营销咨询（深圳）有限公司,大专,3-5年,福田区,12k-20k
北京,北京必示科技有限公司,本科,5-10年,海淀区,30k-60k
杭州,浙江元旨科技有限公司,不限,1-3年,滨江区,6k-8k
城市,公司名称,学历,任职要求,区域,金额
杭州,杭州一骑轻尘信息技术有限公司,大专,3-5年,余杭区,10k-20k
深圳,腾讯科技（深圳）有限公司,本科,1-3年,南山区,16k-30k
深圳,腾讯科技（深圳）有限公司,本科,3-5年,南山区,15k-30k
上海,上海壹佰米网络科技有限公司,本科,1-3年,浦东新区,8k-15k
深圳,唯觅互动营销咨询（深圳）有限公司,大专,3-5年,福田区,12k-20k
深圳,深圳凯撒网络科技有限公司,本科,1-3年,南山区,8k-15k
上海,上海宏路数据技术股份有限公司,大专,不限,黄浦区,8k-14k
北京,北京金堤科技有限公司,本科,1-3年,海淀区,10k-20k
上海,上海二三四五网络科技有限公司,本科,3-5年,浦东新区,10k-20k
上海,上海二三四五网络科技有限公司,本科,5-10年,浦东新区,15k-25k
上海,上海竟跃网络科技有限公司,本科,3-5年,徐汇区,15k-30k
北京,度小满科技（北京）有限公司,本科,1-3年,海淀区,15k-20k
上海,上海新案数字科技有限公司,本科,3-5年,徐汇区,15k-28k
上海,上海新案数字科技有限公司,本科,3-5年,徐汇区,15k-28k
成都,成都揽明月科技有限公司,本科,3-5年,高新区,10k-20k
城市,公司名称,学历,任职要求,区域,金额
上海,上海壹佰米网络科技有限公司,本科,1-3年,浦东新区,8k-15k
深圳,唯觅互动营销咨询（深圳）有限公司,大专,3-5年,福田区,12k-20k
上海,上海二三四五网络科技有限公司,本科,3-5年,浦东新区,10k-20k
上海,上海二三四五网络科技有限公司,本科,5-10年,浦东新区,15k-25k
北京,北京墨迹风云科技股份有限公司,大专,3-5年,朝阳区,12k-18k
上海,深圳萨摩耶数字科技有限公司,本科,3-5年,浦东新区,15k-25k
杭州,浙江未来酒店网络技术有限公司,大专,1-3年,余杭区,10k-20k
上海,深圳市中兴新云服务有限公司,本科,3-5年,闵行区,10k-20k
成都,成都美源网络科技有限公司,大专,1-3年,武侯区,8k-15k
深圳,深圳市汇星科学研究有限公司,大专,3-5年,龙华新区,10k-20k
成都,成都衫数科技有限公司,本科,3-5年,高新区,18k-35k
上海,上海星线网络科技有限公司,不限,1-3年,徐汇区,8k-15k
北京,北京八分量信息科技有限公司,本科,3-5年,海淀区,15k-25k
深圳,深圳市百果互动科技有限公司,本科,1-3年,南山区,10k-18k
上海,上海众言网络科技有限公司,大专,1-3年,徐汇区,10k-20k
城市,公司名称,学历,任职要求,区域,金额
上海,上海壹佰米网络科技有限公司,本科,1-3年,浦东新区,8k-15k
深圳,唯觅互动营销咨询（深圳）有限公司,大专,3-5年,福田区,12k-20k
上海,上海二三四五网络科技有限公司,本科,3-5年,浦东新区,10k-20k
上海,上海二三四五网络科技有限公司,本科,5-10年,浦东新区,15k-25k
上海,深圳萨摩耶数字科技有限公司,本科,3-5年,浦东新区,15k-25k
北京,北京云畅游戏科技股份有限公司,不限,3-5年,朝阳区,15k-30k
杭州,杭州铭师堂教育科技发展有限公司,本科,3-5年,拱墅区,15k-30k
上海,上海收钱吧互联网科技股份有限公司,本科,3-5年,普陀区,15k-30k
上海,知我探索教育科技（北京）有限公司,本科,1-3年,长宁区,10k-20k
上海,知我探索教育科技（北京）有限公司,本科,1-3年,长宁区,10k-20k
广州,科大讯飞华南有限公司,本科,1-3年,海珠区,8k-15k
深圳,深圳市路通网络技术有限公司,本科,不限,南山区,10k-15k
深圳,腾讯科技（深圳）有限公司,本科,1-3年,南山区,10k-20k
深圳,深圳市汇星科学研究有限公司,本科,5-10年,龙华新区,10k-15k
北京,北京必示科技有限公司,本科,5-10年,海淀区,30k-60k
城市,公司名称,学历,任职要求,区域,金额
北京,现代财产保险（中国）有限公司,本科,3-5年,朝阳区,15k-25k
北京,现代财产保险（中国）有限公司,本科,不限,朝阳区,8k-15k
深圳,唯觅互动营销咨询（深圳）有限公司,大专,3-5年,福田区,12k-20k
上海,上海二三四五网络科技有限公司,本科,3-5年,浦东新区,10k-20k
上海,上海二三四五网络科技有限公司,本科,5-10年,浦东新区,15k-25k
上海,深圳萨摩耶数字科技有限公司,本科,3-5年,浦东新区,15k-25k
上海,知我探索教育科技（北京）有限公司,本科,3-5年,长宁区,15k-25k
广州,科大讯飞华南有限公司,本科,1-3年,海珠区,8k-15k
成都,成都美哆网络科技有限公司,大专,3-5年,锦江区,15k-30k
成都,成都美哆网络科技有限公司,大专,3-5年,锦江区,8k-15k
北京,北京妙医佳健康科技集团有限公司,本科,3-5年,朝阳区,15k-20k
北京,北京莱伯泰科仪器股份有限公司,本科,3-5年,顺义区,18k-25k
北京,北京莱伯泰科仪器股份有限公司,本科,1-3年,顺义区,18k-25k
深圳,深圳市傲冠软件股份有限公司,本科,3-5年,福田区,15k-25k
北京,北京必示科技有限公司,本科,5-10年,海淀区,30k-60k
城市,公司名称,学历,任职要求,区域,金额
上海,上海二三四五网络科技有限公司,本科,3-5年,浦东新区,10k-20k
上海,上海二三四五网络科技有限公司,本科,5-10年,浦东新区,15k-25k
上海,深圳萨摩耶数字科技有限公司,本科,3-5年,浦东新区,15k-25k
广州,科大讯飞华南有限公司,本科,1-3年,海珠区,8k-15k
北京,北京中电博亚科技有限公司,本科,1-3年,海淀区,10k-15k
广州,广州哆啦科技有限公司,本科,1-3年,海珠区,15k-23k
武汉,武汉斗鱼网络科技有限公司,本科,3-5年,洪山区,15k-25k
成都,成都健康医联信息产业有限公司,本科,5-10年,高新区,15k-25k
成都,成都健康医联信息产业有限公司,本科,5-10年,高新区,15k-25k
北京,北京字节跳动科技有限公司,本科,1-3年,海淀区,15k-30k
武汉,武汉绘一科技有限公司,本科,3-5年,东湖新技术开发区,12k-15k
北京,现代财产保险（中国）有限公司,本科,3-5年,朝阳区,15k-30k
杭州,浙江元旨科技有限公司,不限,1-3年,滨江区,6k-8k
北京,北京必示科技有限公司,本科,5-10年,海淀区,30k-60k
上海,北京快乐茄信息技术有限公司,不限,5-10年,浦东新区,45k-75k
城市,公司名称,学历,任职要求,区域,金额
上海,深圳萨摩耶数字科技有限公司,本科,3-5年,浦东新区,15k-25k
广州,科大讯飞华南有限公司,本科,1-3年,海珠区,8k-15k
成都,成都健康医联信息产业有限公司,本科,5-10年,高新区,15k-25k
成都,成都健康医联信息产业有限公司,本科,5-10年,高新区,15k-25k
武汉,武汉绘一科技有限公司,本科,3-5年,东湖新技术开发区,12k-15k
上海,波克科技股份有限公司,本科,1-3年,普陀区,12k-20k
成都,中电通商数字技术（上海）有限公司,本科,3-5年,温江区,10k-15k
北京,北京奇艺世纪科技有限公司,本科,3-5年,朝阳区,10k-20k
北京,北京深演智能科技股份有限公司,本科,1-3年,朝阳区,10k-20k
北京,北京深演智能科技股份有限公司,本科,3-5年,朝阳区,15k-30k
深圳,深圳市铱硙医疗科技有限公司,本科,5-10年,南山区,15k-30k
杭州,杭州片段网络科技有限公司,本科,1-3年,西湖区,15k-30k
杭州,浙江元旨科技有限公司,不限,1-3年,滨江区,6k-8k
北京,北京必示科技有限公司,本科,5-10年,海淀区,30k-60k
上海,北京快乐茄信息技术有限公司,不限,5-10年,浦东新区,45k-75k
城市,公司名称,学历,任职要求,区域,金额
广州,科大讯飞华南有限公司,本科,1-3年,海珠区,8k-15k
成都,成都健康医联信息产业有限公司,本科,5-10年,高新区,15k-25k
成都,成都健康医联信息产业有限公司,本科,5-10年,高新区,15k-25k
武汉,武汉绘一科技有限公司,本科,3-5年,东湖新技术开发区,12k-15k
深圳,深圳视界信息技术有限公司,本科,1-3年,南山区,8k-16k
深圳,深圳视界信息技术有限公司,本科,3-5年,南山区,10k-20k
厦门,厦门美图之家科技有限公司,本科,1-3年,思明区,10k-20k
厦门,厦门美图之家科技有限公司,本科,3-5年,思明区,15k-30k
北京,北京多格科技有限公司,本科,3-5年,海淀区,15k-30k
北京,北京多格科技有限公司,大专,1-3年,海淀区,11k-20k
上海,广东乐心医疗电子股份有限公司,本科,1-3年,长宁区,15k-20k
上海,广东乐心医疗电子股份有限公司,本科,1-3年,长宁区,11k-20k
上海,北京快乐茄信息技术有限公司,不限,5-10年,浦东新区,45k-75k
杭州,浙江元旨科技有限公司,不限,1-3年,滨江区,6k-8k
北京,北京必示科技有限公司,本科,5-10年,海淀区,30k-60k
城市,公司名称,学历,任职要求,区域,金额
成都,成都健康医联信息产业有限公司,本科,5-10年,高新区,15k-25k
成都,成都健康医联信息产业有限公司,本科,5-10年,高新区,15k-25k
武汉,武汉绘一科技有限公司,本科,3-5年,东湖新技术开发区,12k-15k
上海,广东乐心医疗电子股份有限公司,本科,1-3年,长宁区,11k-20k
长沙,湖南特能博世科技有限公司,本科,5-10年,天心区,12k-15k
杭州,北京顶象技术有限公司,本科,3-5年,余杭区,15k-25k
广州,广州哆啦科技有限公司,本科,1-3年,海珠区,9k-18k
广州,广州哆啦科技有限公司,本科,1-3年,海珠区,9k-18k
广州,广州科宁网络科技有限公司,本科,1-3年,天河区,10k-15k
上海,燧人（上海）医疗科技有限公司,本科,3-5年,浦东新区,10k-20k
上海,北京快乐茄信息技术有限公司,不限,5-10年,浦东新区,45k-75k
上海,上海百龄足健康管理有限公司,不限,不限,松江区,5k-10k
北京,北京读我科技有限公司,本科,5-10年,海淀区,25k-40k
北京,北京七十二创意文化传媒有限公司,本科,1年以下,朝阳区,5k-8k
南宁,宁波捷创技术股份有限公司,大专,3-5年,青秀区,6k-10k
城市,公司名称,学历,任职要求,区域,金额
成都,成都健康医联信息产业有限公司,本科,5-10年,高新区,15k-25k
成都,成都健康医联信息产业有限公司,本科,5-10年,高新区,15k-25k
武汉,武汉绘一科技有限公司,本科,3-5年,东湖新技术开发区,12k-15k
广州,广州哆啦科技有限公司,本科,1-3年,海珠区,9k-18k
广州,广州哆啦科技有限公司,本科,1-3年,海珠区,8k-14k
深圳,深圳市新国都股份有限公司,本科,1-3年,南山区,8k-16k
深圳,深圳市新国都股份有限公司,本科,3-5年,南山区,15k-25k
